file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX196806314,82,4,1,1,0,1,29,158,4.8333,26.3333,0.0316,0.8659,118329.3217,0.0,0.0,0.0,0.0,0.3333,0.0,0.6116,ces_Latn
CTX196901196,2,7,0,1,0,3,64,405,8.0,50.625,0.0193,0.989,692.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.8279,ces_Latn
CTX196905059,3,36,0,0,0,4,333,1915,9.25,53.1944,0.0013,0.9657,287.5514,0.0556,0.0,0.0,0.0,0.0,0.0018,0.7603,ces_Latn
CTX196905648A,25,24,0,5,0,16,272,1653,9.3793,57.0,0.0267,0.9737,531.4124,0.5172,0.0,0.0,0.0,0.0,0.0037,0.8086,ces_Latn
CTX197000383,24,29,0,0,0,0,253,1529,8.7241,52.7241,0.0104,0.9858,702.6166,0.0,0.0345,0.0,0.0,0.0,0.0004,0.7856,ces_Latn
CTX197001198H,17,0,1,0,0,5,3,15,3.0,15.0,0.0,0.2484,2722.81,0.0,0.0,0.0,0.0,0.0,0.0,0.6528,pol_Latn
CTX197002609,1,23,1,4,0,1,123,729,4.3929,26.0357,0.0085,0.8502,2374.8236,0.0,0.0,0.0,0.0,0.0357,0.0,0.77,ces_Latn
CTX197003464A,39,34,0,2,0,3,330,1925,9.1667,53.4722,0.0046,0.9022,495.8897,0.0,0.0,0.0,0.0,0.0,0.0,0.7797,ces_Latn
CTX197005540,33,2,1,2,0,34,6,35,1.2,7.0,0.0333,0.6886,1646.222,0.2,0.0,0.0,0.0,0.0,0.08,0.7512,deu_Latn
CTX197006009B,33,2,4,2,0,3,22,100,2.75,12.5,0.01,0.666,4763.8575,0.0,0.0,0.0,0.0,0.25,0.0,0.5933,zsm_Latn
CTX197101430A,16,24,0,0,0,5,214,1344,8.9167,56.0,0.0041,0.9716,316.4867,0.0,0.0,0.0,0.0,0.0,0.0,0.8277,ces_Latn
CTX197103468,43,18,2,1,0,1,177,1082,8.4286,51.5238,0.0051,0.9944,1404.6338,0.0952,0.0476,0.0,0.0,0.0,0.0058,0.7818,ces_Latn
CTX197105391,5,28,0,0,0,1,280,1651,10.0,58.9643,0.0123,0.9999,422.1943,0.0,0.0,0.0,0.0,0.0357,0.0,0.8075,ces_Latn
CTX197105784,13,4,0,0,0,0,22,143,5.5,35.75,0.0092,0.9127,447.12,0.0,0.0,0.0,0.0,0.0,0.0,0.7931,ces_Latn
CTX197106479,4,24,3,3,0,8,144,838,4.8,27.9333,0.0098,0.8929,2315.6393,0.0,0.0,0.0,0.0,0.0,0.0,0.717,ces_Latn
CTX197106710A,215,0,0,1,0,0,2,12,2.0,12.0,0.0,0.4389,269.61,0.0,0.0,0.0,0.0,0.0,0.0,0.8512,gaz_Latn
CTX197200849A,57,28,0,2,0,99,97,594,3.2333,19.8,0.0039,0.9279,601.414,0.0333,0.0,0.0,0.0,0.0,0.0033,0.7509,ces_Latn
CTX197203249A,3,3,0,1,0,1,24,145,6.0,36.25,0.01,0.8968,894.7525,0.0,0.0,0.0,0.0,0.0,0.0,0.7725,ces_Latn
CTX197204562,1,64,2,15,0,8,286,1776,3.5309,21.9259,0.0109,0.9011,1373.4794,0.0494,0.0,0.0,0.0,0.037,0.0026,0.7717,ces_Latn
CTX197206113H,13,11,2,3,0,3,75,423,4.6875,26.4375,0.0125,0.9818,1866.69,0.125,0.0,0.0,0.0,0.0625,0.0067,0.7333,ces_Latn
CTX197207426,1,14,0,5,0,1,119,657,6.2632,34.5789,0.0158,0.8328,687.7711,0.1053,0.0,0.0,0.0,0.0,0.0088,0.7553,ces_Latn
CTX197208077,50,27,0,1,0,0,204,1128,7.2857,40.2857,0.0249,0.9507,640.0175,0.0357,0.0,0.0,0.0,0.0,0.0071,0.7479,ces_Latn
CTX197301479,1,15,0,1,0,4,175,938,10.9375,58.625,0.0046,0.946,622.4981,0.0,0.0,0.0,0.0,0.0,0.0,0.7721,ces_Latn
CTX197303034,1,25,0,7,0,8,134,667,4.1875,20.8438,0.014,0.8757,2185.7619,0.0938,0.0,0.0,0.0,0.0,0.0043,0.7506,ces_Latn
CTX197304458,18,1,2,3,0,10,15,62,2.5,10.3333,0.1018,0.846,15290.0967,0.5,0.0,0.0,0.0,0.3333,0.08,0.3893,slk_Latn
CTX197305414,51,1,0,1,0,0,9,34,4.5,17.0,0.0345,0.9417,318.93,0.0,0.0,0.0,0.0,0.5,0.0,0.7233,ces_Latn
CTX197305832,1,13,6,1,0,6,46,335,2.3,16.75,0.0793,0.6643,2848.9505,0.0,0.05,0.0,0.0,0.1,0.005,0.6951,deu_Latn
CTX197306341,25,12,2,2,0,2,38,311,2.375,19.4375,0.068,0.7904,1375.8331,0.0,0.0625,0.0,0.0,0.125,0.0031,0.7939,deu_Latn
CTX197306984A,41,24,0,1,0,2,196,1139,7.84,45.56,0.0435,0.9289,587.7184,0.08,0.0,0.0,0.0,0.0,0.003,0.7308,ces_Latn
CTX197307708,2,5,0,1,0,2,35,258,5.8333,43.0,0.0,0.7825,678.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.8348,ces_Latn
